iter	Accuracy	Logloss
0	0.8277310924	0.6763338501
1	0.8277310924	0.663207944
2	0.8277310924	0.6476213488
3	0.8319327731	0.6368415892
4	0.8298319328	0.6226342397
5	0.8382352941	0.6130107557
6	0.8277310924	0.6041677001
7	0.8235294118	0.5920772243
8	0.8340336134	0.5796129225
9	0.8340336134	0.571432301
10	0.8361344538	0.5617329267
11	0.8382352941	0.5519044608
12	0.8424369748	0.5413727035
13	0.8424369748	0.5329353934
14	0.8424369748	0.5274957762
15	0.8424369748	0.5204258889
16	0.8424369748	0.5154994148
17	0.8445378151	0.509522087
18	0.8445378151	0.5021558127
19	0.8445378151	0.4952266901
20	0.8424369748	0.4865379463
21	0.8466386555	0.4802019512
