iter	Accuracy	CrossEntropy
0	0.8019662921	0.6764924853
1	0.8216292135	0.6583304694
2	0.8202247191	0.6410646578
3	0.8230337079	0.6271189126
4	0.8342696629	0.6114497669
5	0.8356741573	0.6006021461
6	0.8286516854	0.5878401496
7	0.8342696629	0.5753461923
8	0.8286516854	0.5667727756
9	0.8300561798	0.5576433486
10	0.8356741573	0.5469414212
11	0.8342696629	0.5374041417
12	0.8328651685	0.5299087149
13	0.8314606742	0.5230284608
14	0.8286516854	0.5154600485
15	0.8300561798	0.5074794104
16	0.8300561798	0.5031457928
17	0.8300561798	0.4969980525
18	0.8300561798	0.4910591959
19	0.8300561798	0.487045736
20	0.8300561798	0.4835050121
21	0.8300561798	0.4766149835
22	0.8300561798	0.4724478968
23	0.8314606742	0.4673039968
24	0.8300561798	0.4632730548
25	0.8314606742	0.4594499144
26	0.8314606742	0.4560776872
27	0.8342696629	0.4512953828
28	0.8328651685	0.4476133105
29	0.8328651685	0.4452862553
30	0.8314606742	0.4429247896
31	0.8314606742	0.4415342843
32	0.8328651685	0.4389313239
33	0.8342696629	0.4367982359
34	0.8342696629	0.43510795
35	0.8328651685	0.4323655446
36	0.8328651685	0.4297683207
37	0.8328651685	0.4274281723
38	0.8328651685	0.4251382704
39	0.8342696629	0.4234167325
40	0.8328651685	0.4209286878
41	0.8356741573	0.420125016
42	0.8342696629	0.4182173548
43	0.8356741573	0.4147856352
44	0.8356741573	0.4133030995
45	0.8356741573	0.4110126915
46	0.8356741573	0.4094033626
47	0.8356741573	0.4075921013
48	0.8356741573	0.4061021068
49	0.8356741573	0.4041889427
50	0.8356741573	0.4025671355
51	0.8356741573	0.4009089515
52	0.8356741573	0.3995942226
53	0.8356741573	0.3977085515
54	0.8370786517	0.3967702608
55	0.8370786517	0.3951479437
56	0.8370786517	0.3939931694
57	0.8370786517	0.3921772212
58	0.8356741573	0.3909705915
59	0.8370786517	0.3892513812
60	0.8370786517	0.3879046013
61	0.8370786517	0.3867018536
62	0.8370786517	0.3856845521
63	0.8370786517	0.3843435251
64	0.8370786517	0.3832600832
65	0.8384831461	0.3824434516
66	0.8384831461	0.3817491536
67	0.8412921348	0.3810850765
