iter	RMSE
0	32.25814932
1	31.4464561422	30.7188015733	29.97993964	4	29.26126265	5	28.55969466	6	27.904779
7	27.2526513
8	26.64843791
9	26.03166876
10	25.46297758
11	24.89842315
12	24.32718438
13	23.80303742
14	23.30126143
15	22.83281073
16	22.35898585
17	21.89534878
18	21.4283119
19	20.99426829
20	20.56081595
21	20.1461592
22	19.75125564
23	19.36868972
24	18.99686344
25	18.65432689
26	18.31140943
27	17.99908141
28	17.65097588
29	17.37243121
30	17.09315447
31	16.81942726
32	16.56133459
33	16.30285992
34	16.06477658
35	15.82656053
36	15.60944521
37	15.3915072
38	15.16647043
39	14.96006455
40	14.76459203
41	14.56655603
42	14.37744227
43	14.21374013
44	14.05792358
45	13.88701514
46	13.72123603
47	13.56314276
48	13.4132199
49	13.26307456
50	13.12388601
51	12.9842271
52	12.8577383
53	12.723096
54	12.60774929
55	12.47666416
56	12.38372788
57	12.28810158
58	12.1715749
59	12.08316108
60	11.98643555
61	11.91329938
62	11.82275058
63	11.75670618
64	11.67442727
65	11.60670936
66	11.52962477
67	11.46452885
68	11.38865696
69	11.31862636
70	11.24959814
71	11.18302689
72	11.12189512
73	11.05739915
74	11.0010677
75	10.95022531
76	10.89628168
77	10.83756724
78	10.78931076
79	10.74483598
80	10.71087001
81	10.66164957
82	10.63526988
83	10.58538331
84	10.53767887
85	10.50070994
86	10.45980288
87	10.41047539
88	10.39042306
89	10.35221213
90	10.31443193
91	10.27200902
92	10.23547061
93	10.20287137
94	10.18076292
95	10.14875151
96	10.11280461
97	10.09747804
98	10.08360464
99	10.06791917
100	10.05658221
101	10.03058576
102	10.00476215
103	9.983458096
104	9.952516124
105	9.943400717
106	9.917797129
107	9.893212735
108	9.873837462
109	9.843689909
110	9.818747019
111	9.792313337
112	9.775088781
113	9.754737671
114	9.739166661
115	9.717170035
116	9.71091306
117	9.68878779
118	9.68412466
119	9.656977151
120	9.63822849
121	9.619380842
122	9.611145181
123	9.589904933
124	9.56992669
125	9.551928496
126	9.538364855
127	9.521682768
128	9.506509103
129	9.489385455
130	9.466671079
131	9.434232069
132	9.418102001
133	9.397511033
134	9.378070175
135	9.359404184
136	9.344027524
137	9.329066583
138	9.310240626
139	9.295694663
140	9.29269586
141	9.277925644
142	9.264893732
143	9.245348447
144	9.242502062
145	9.233158265
146	9.218578176
147	9.205993342
148	9.191105723
149	9.177378158
150	9.166029819
151	9.149984625
152	9.126815315
153	9.12580536
154	9.112128807
155	9.098764148
156	9.089910844
157	9.077324215
158	9.076518424
159	9.062223442
160	9.051555361
161	9.050476519
162	9.037792246
163	9.02557447
164	9.016973794
165	9.004008349
166	8.993764209
167	8.991276011
168	8.972430955
169	8.954895894
170	8.944533604
171	8.927911307
172	8.913357999
173	8.906472286
174	8.9060615661175	8.8997550317176	8.8874554717177	8.8870480017178	8.8863910017179	8.8776833518180	8.8618109318181	8.855135931182	8.8433026891183	8.8426019971184	8.82359055
185	8.812342055
186	8.798721518
187	8.792644385
188	8.781768419
189	8.769010693
