iter	RMSE
0	13.27340131
1	13.04834148
2	12.7967859
3	12.57366857
4	12.37429569
5	12.18448506
6	12.0139771
7	11.82938739
8	11.65199595
9	11.48675261
10	11.33649304
11	11.20283044
12	11.06774811
13	10.93690793
14	10.80502902
15	10.6790457
16	10.5740898
17	10.46837758
18	10.37182619
19	10.27577928
20	10.18140808
21	10.09650734
22	10.02981447
23	9.959240967
24	9.893062517
25	9.818816924
26	9.752179874
27	9.689486892
28	9.623975894
29	9.558364241
30	9.515157323
31	9.486590342
32	9.435471965
33	9.376385019
34	9.34499979
35	9.29513468
36	9.234730353
37	9.189702813
38	9.148615883
39	9.105262479
40	9.090836042
41	9.042828426
42	9.02200392
43	9.009613925
44	8.977305096
45	8.946267649
46	8.909454692
47	8.868156238
48	8.831508576
49	8.787297276
50	8.743224024
51	8.706352904
52	8.666481031
53	8.632377389
54	8.619320569
55	8.583083969
56	8.553032328
57	8.525086618
58	8.505164834
59	8.489866826
60	8.471906576
61	8.44274311
62	8.414431095
63	8.388724373
64	8.361705724
65	8.328572598
66	8.291767979
67	8.265254392
68	8.245544671
69	8.219927347
70	8.190880099
71	8.16329637
72	8.140311737
73	8.127020673
74	8.096098415
75	8.074312935
76	8.037034039
77	8.018367717
78	8.009015596
79	7.979058406
80	7.978159506
81	7.949803603
82	7.946372137
83	7.927482905
84	7.907009576
85	7.885691746
86	7.88001783
87	7.851836153
88	7.827863704
89	7.794110234
90	7.792900016
91	7.789779929
92	7.762978853
93	7.743657509
94	7.728288714
95	7.708786159
96	7.693590401
97	7.667079204
98	7.636271179
99	7.621500372
100	7.600390524
101	7.585123563
102	7.567658455
103	7.556810094
104	7.533124376
105	7.517604855
106	7.501938236
107	7.478674089
108	7.465140082
109	7.450917446
110	7.450282288
111	7.445955214
112	7.427304021
113	7.408665666
114	7.388455649
115	7.370879672
116	7.369188059
117	7.349407103
118	7.327733752
119	7.307436471
120	7.286237575
121	7.263156082
122	7.249859952
123	7.230161029
124	7.222526231
125	7.221798257
126	7.209569376
127	7.199795248
128	7.179887853
129	7.163567793
130	7.155455377
131	7.143214659
132	7.129067988
133	7.121507773
134	7.119699619
135	7.114361349
136	7.097788025
137	7.078274488
138	7.063289114
139	7.041297538
140	7.025159017
141	7.001657827
142	6.984585713
143	6.967002503
144	6.952357569
145	6.945638945
146	6.923483674
147	6.906894324
148	6.893290112
149	6.877230033
150	6.85720989
151	6.844147689
152	6.830950234
153	6.810074402
154	6.798337296
155	6.79815854
156	6.789173492
157	6.774870671
158	6.760624433
159	6.758266095
160	6.746061083
161	6.742940189
162	6.729757205
163	6.711768529
164	6.697061898
165	6.682890885
166	6.66918382
167	6.648030415
168	6.63563454
169	6.620497293
170	6.60634236
171	6.589965087
172	6.577847592
173	6.557716384
174	6.542143104
175	6.527973342
176	6.516178732
177	6.508349309
178	6.488645206
179	6.472649013
180	6.459020423
181	6.449007621
182	6.442650997
183	6.434163306
184	6.420055872
185	6.406474694
186	6.394895393
187	6.387689761
188	6.372242422
189	6.355600822
190	6.33298667
191	6.323610708
192	6.312821965
193	6.293617546
194	6.275165901
195	6.260766643
196	6.252261012
197	6.2289746
198	6.218969674
199	6.21048833
200	6.201203114
201	6.189249831
202	6.1741935
203	6.150791082
204	6.144663895
205	6.139693814
206	6.129121572
207	6.123283495
208	6.105578481
209	6.091718796
210	6.089938397
211	6.075979511
212	6.065693918
213	6.054372148
214	6.035583524
215	6.033290956
216	6.025142248
217	6.015706557
218	6.011206617
219	5.99702049
220	5.995395188
221	5.987012821
222	5.977954535
223	5.966517339
224	5.950300599
225	5.945987045
226	5.93496612
227	5.927267132
228	5.91944984
229	5.908584842
230	5.905450414
231	5.901604201
232	5.89642113
233	5.893866841
234	5.877455908
235	5.870657477
236	5.864525727
237	5.85337759
238	5.848794706
239	5.82828236
240	5.823668467
241	5.814611972
242	5.801169929
243	5.791173409
244	5.786540789
245	5.772251216
246	5.766338766
247	5.76211866
248	5.756829566
249	5.747771277
250	5.739386041
251	5.727241774
252	5.717570595
253	5.703633264
254	5.696104294
255	5.691389523
256	5.686078383
257	5.675599122
258	5.66453336
259	5.648338354
260	5.645021426
261	5.637654189
262	5.627113529
263	5.624363746
264	5.612746136
265	5.601522758
266	5.596436953
267	5.587070479
268	5.578942974
269	5.572259394
270	5.563692339
271	5.552830544
272	5.543850129
273	5.53964021
274	5.533074392
275	5.526076853
276	5.514562413
277	5.503661067
278	5.493216496
279	5.483493379
280	5.473523561
281	5.46944631
282	5.460290917
283	5.453934645
284	5.445803778
285	5.443203755
286	5.435303926
287	5.426501399
288	5.417070475
289	5.413016733
290	5.40651958
291	5.402019472
292	5.396497908
293	5.389696807
294	5.383923947
295	5.374880264
296	5.364738339
297	5.360348775
298	5.35371853
299	5.351392412
300	5.344235886
301	5.33649304
302	5.330295097
303	5.321660811
304	5.31648164
305	5.312531466
306	5.309289275
307	5.297777723
308	5.292864321
309	5.289226605
310	5.278622883
311	5.274048964
312	5.26923205
313	5.256435265
314	5.249264809
315	5.234744693
316	5.225089723
317	5.218912653
318	5.213111095
319	5.202799751
320	5.193213319
321	5.189133806
322	5.182032987
323	5.179530639
324	5.17216867
325	5.168483618
326	5.166153562
327	5.15657221
328	5.142285325
329	5.124706401
330	5.122783658
331	5.119042893
332	5.112743881
333	5.105154139
334	5.099543554
