iter	Passed	Remaining
0	50	50278
1	1062	530386
2	1084	360435
3	1464	364746
4	1505	299560
5	1522	252285
6	2344	332523
7	3470	430344
8	3474	382588
9	3499	346404
10	3513	315907
11	4445	366002
12	5411	410849
13	5876	413860
14	5877	385971
15	6918	425488
16	7430	429673
17	8586	468437
18	8588	443455
19	8788	430636
20	8822	411305
21	8828	392486
22	8830	375114
23	8839	359464
24	8843	344895
25	9885	370313
26	10075	363099
27	11295	392132
28	11357	380279
29	12360	399651
30	12367	386598
31	12368	374162
32	12384	362893
33	13561	385318
34	13580	374426
35	14434	386528
36	14876	387191
37	15800	400014
38	16599	409028
39	16972	407341
40	16973	397011
41	17785	405685
42	17787	395873
43	17789	386524
44	18474	392069
45	18548	384680
46	19289	391124
47	20396	404534
48	21276	412935
49	22134	420551
50	23147	430734
51	23970	437009
52	24726	441806
53	25502	446761
54	25505	438227
55	26512	446916
56	27277	451276
57	28018	455056
58	28190	449608
59	28298	443341
60	28376	436818
61	29128	440690
62	29970	445753
63	30781	450174
64	31570	454130
65	32469	459493
66	33327	464100
67	34211	468896
68	35155	474344
69	35936	477442
70	36711	480345
71	37743	486467
72	38731	491842
73	38746	484851
74	39772	490530
75	40475	492097
76	41350	495671
77	42282	499795
78	42295	493092
79	42961	494053
80	42962	487435
81	43859	491011
82	43860	484581
83	44234	482361
84	44419	478166
85	44875	476927
86	44892	471108
87	45734	473980
88	46761	478644
89	47717	482480
90	47719	476668
91	47725	471029
92	48739	475336
93	49691	478940
94	49882	475200
95	50999	480246
96	51946	483584
97	52963	487479
98	54027	491704
99	54946	494522
100	55730	496053
101	55795	491218
102	56539	492389
103	57378	494341
104	58169	495829
105	58359	492202
106	59617	497551
107	60798	502151
108	61981	506656
109	62863	508621
110	62864	503481
111	62881	498559
112	64330	504966
113	65828	511617
114	66893	514785
115	68374	521063
116	68402	516231
117	70275	525279
118	71916	532424
119	72802	533881
120	73943	537158
121	75170	540980
122	75233	536422
123	76137	537872
124	76181	533270
125	76195	528531
126	77430	532255
127	78627	535650
128	79886	539386
129	81231	543624
130	81268	539104
131	82244	540818
132	83511	544396
133	83618	540397
134	83626	535827
135	83658	531475
136	84371	531476
137	84634	528660
138	85744	531124
139	87031	534619
140	88348	538236
141	89426	540337
142	90326	541326
143	91598	544500
144	91744	540978
145	91802	536981
146	93155	540553
147	94255	542604
148	95223	543858
149	96311	545762
150	97416	547727
151	98356	548727
152	99475	550689
153	100803	553763
154	102231	557325
155	102237	553131
156	103511	555799
157	104685	557883
158	105994	560635
159	106019	556600
160	107133	558292
161	107188	554468
162	108650	557915
163	110075	561116
164	111287	563182
165	112922	567334
166	113845	567863
167	115483	571918
168	116758	574120
169	117968	575965
170	118820	576036
171	120169	578489
172	120247	574827
173	121286	575760
174	122308	576599
175	123534	578366
176	124595	579333
177	125804	580961
178	127061	582781
179	128036	583279
180	129075	584050
181	130331	585777
182	131536	587240
183	132719	588581
184	133790	589399
185	133864	585835
186	134108	583050
187	134162	579467
188	135292	580539
189	136546	582120
190	137794	583642
191	138930	584666
192	140146	586000
193	141551	588094
194	142958	590160
195	144179	591428
196	145315	592325
197	146433	593128
198	147527	593816
199	148775	595103
200	150601	598659
201	151699	599287
202	152934	600439
203	154182	601613
204	155224	601966
205	155515	599414
206	156958	601293
207	157037	597949
208	158339	599265
209	159333	599399
210	159423	596139
211	160494	596554
212	161540	596864
213	162506	596871
214	164070	599049
215	165381	600273
216	166483	600721
217	167586	601160
218	168638	601400
219	170245	603597
220	170274	600199
221	171480	600953
222	172650	601566
223	173742	601894
224	174820	602159
225	176016	602818
226	177048	602900
227	178004	602715
228	179091	602967
229	180350	603780
230	181490	604183
231	182447	603965
232	183029	602505
233	183339	600164
234	184553	600781
235	185514	600562
236	186646	600890
237	187843	601415
238	188316	599617
239	189693	600695
240	190719	600648
241	191766	600657
242	192990	601209
243	193899	600769
244	194935	600718
245	195974	600668
246	197237	601293
247	198230	601086
248	199466	601602
249	200721	602163
250	202100	603081
251	203096	602842
252	204126	602696
253	204281	599975
254	205572	600594
255	206695	600709
256	207784	600714
257	208737	600322
258	210103	601107
259	211222	601173
260	212136	600647
261	213804	602244
262	215290	603303
263	216878	604630
264	218277	605411
265	219849	606652
266	222186	609973
267	223984	611779
268	225796	613595
269	227080	613958
270	228704	615223
271	231019	618317
272	233338	621381
273	234822	622192
274	236674	623959
275	238777	626358
276	240443	627583
277	242007	628523
278	243719	629827
279	245424	631092
280	247223	632574
281	248874	633659
282	250183	633857
283	251589	634289
284	252942	634574
285	253051	631744
286	254526	632325
287	255937	632733
288	257398	633252
289	258820	633664
290	259216	631562
291	260595	631855
292	261920	632006
293	263471	632690
294	264878	633013
295	266319	633408
296	267688	633619
297	268918	633492
298	270447	634058
299	271648	633847
300	273013	634007
301	274453	634332
302	276073	635060
303	277459	635236
304	278948	635635
305	280225	635544
306	280558	633313
307	282116	633845
308	282511	631766
309	283814	631715
310	285272	632001
311	286488	631743
312	287970	632064
313	290058	633693
314	292064	635125
315	293751	635842
316	295191	636012
317	296697	636313
318	298415	637056
319	299671	636800
320	301146	637004
321	302449	636835
322	302789	634639
323	304040	634356
324	305171	633818
325	306601	633893
326	307897	633685
327	309537	634173
328	311057	634405
329	312527	634525
330	313705	634045
331	314761	633315
332	316399	633749
333	317980	634056
334	319467	634167
